[2026-03-18T04:24:12.461Z] RX /composition/layers/2/clips/1/connect | i:0
[2026-03-18T04:24:58.551Z] RX /composition/layers/2/clips/1/connect | i:0
[2026-03-18T04:25:00.446Z] RX /composition/layers/2/clips/1/connect | i:0
[2026-03-20T14:45:44.747Z] RX /width | f:0.05859375
[2026-03-20T14:45:44.749Z] RX /width | f:0.05859375
[2026-03-20T14:45:44.749Z] RX /height | f:0.032958984375
[2026-03-20T14:45:44.750Z] RX /height | f:0.032958984375
[2026-03-20T14:45:44.750Z] RX /width | f:0.05859375
[2026-03-20T14:45:44.750Z] RX /width | f:0.05859375
[2026-03-20T14:45:44.750Z] RX /height | f:0.032958984375
[2026-03-20T14:45:44.751Z] RX /height | f:0.032958984375
[2026-03-20T14:45:44.751Z] RX /width | f:0.05859375
[2026-03-20T14:45:44.751Z] RX /width | f:0.05859375
[2026-03-20T14:45:44.751Z] RX /height | f:0.032958984375
[2026-03-20T14:45:44.751Z] RX /height | f:0.032958984375
[2026-03-20T14:45:44.752Z] RX /volume | f:1
[2026-03-20T14:45:44.752Z] RX /volume/in/in | f:0.000015848931070649996
[2026-03-20T14:45:44.752Z] RX /volume/out/out | f:1
[2026-03-20T14:45:44.752Z] RX /pan | f:0.5
[2026-03-20T14:45:44.752Z] RX /pan/in/in | f:0
[2026-03-20T14:45:44.753Z] RX /pan/out/out | f:1
[2026-03-20T14:45:44.753Z] RX /blendmode | i:0
[2026-03-20T14:45:44.753Z] RX /blendmode | i:0
[2026-03-20T14:45:44.753Z] RX /blendmode | i:0
[2026-03-20T14:45:44.753Z] RX /width | f:0.05859375
[2026-03-20T14:45:44.753Z] RX /height | f:0.032958984375
[2026-03-20T14:45:44.753Z] RX /opacity | f:1
[2026-03-20T14:45:44.754Z] RX /phase | f:0.5
[2026-03-20T14:45:44.754Z] RX /phase/in/in | f:0
[2026-03-20T14:45:44.754Z] RX /phase/out/out | f:1
[2026-03-20T14:45:44.754Z] RX /behaviour | i:0
[2026-03-20T14:45:44.754Z] RX /behaviour | i:0
[2026-03-20T14:45:44.755Z] RX /behaviour | i:0
[2026-03-20T14:45:44.755Z] RX /curve | i:0
[2026-03-20T14:45:44.755Z] RX /curve | i:0
[2026-03-20T14:45:44.755Z] RX /curve | i:0
[2026-03-20T14:45:44.756Z] RX /sidea | i:0
[2026-03-20T14:45:44.757Z] RX /sidea | i:0
[2026-03-20T14:45:44.757Z] RX /sidea | i:0
[2026-03-20T14:45:44.757Z] RX /sideb | i:0
[2026-03-20T14:45:44.758Z] RX /sideb | i:0
[2026-03-20T14:45:44.758Z] RX /sideb | i:0
[2026-03-20T14:45:44.758Z] RX /volume | f:1
[2026-03-20T14:45:44.758Z] RX /volume/in/in | f:0.000015848931070649996
[2026-03-20T14:45:44.758Z] RX /volume/out/out | f:1
[2026-03-20T14:45:44.759Z] RX /pan | f:0.5
[2026-03-20T14:45:44.759Z] RX /pan/in/in | f:0
[2026-03-20T14:45:44.759Z] RX /pan/out/out | f:1
[2026-03-20T14:45:44.759Z] RX /mixer/blendmode | i:1
[2026-03-20T14:45:44.759Z] RX /mixer/blendmode | i:1
[2026-03-20T14:45:44.760Z] RX /mixer/blendmode | i:1
[2026-03-20T14:45:44.760Z] RX /mixer/blendmode | i:12
[2026-03-20T14:45:44.760Z] RX /mixer/blendmode | i:12
